# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H50,3000-3099,4/17/2017,17,1,Theft,Residence or House,WEBSTER,-,ST
1,10H50,3100-3199,4/17/2017,12,1,Theft,Other Parking Lot,DELANO,-,-
1,10H50,3600-3699,4/17/2017,15,1,Theft,"Libraries, Museums",SCOTT,-,ST
1,10H50,2600-2699,4/18/2017,10,1,Robbery,"Road, Street, or Sidewalk",CALLIE,-,ST
1,10H50,3700-3799,4/18/2017,10,1,Theft,"Other, Unknown, or Not Listed",SCOTT,-,ST
1,10H50,3700-3799,4/18/2017,10,1,Auto Theft,"Road, Street, or Sidewalk",TIERWESTER,-,-
1,10H50,3900-3999,4/18/2017,01,1,Theft,,DENNIS,-,ST
1,10H50,3500-3599,4/18/2017,05,1,Theft,"Road, Street, or Sidewalk",GULF,-,FWY
1,10H50,3500-3599,4/17/2017,07,1,Theft,"Road, Street, or Sidewalk",NAGLE,-,-
1,10H50,3200-3299,4/17/2017,07,1,Burglary,Private School,HADLEY,-,ST
1,10H50,2600-2699,4/19/2017,20,1,Theft,Driveway,ISABELLA,-,-
1,10H50,3000-3099,4/19/2017,21,1,Robbery,Grocery Store or Supermarket Parking Lot,SCOTT,-,ST
1,10H50,3700-3799,4/20/2017,18,1,Theft,Other Parking Lot,HOLMAN,-,-
1,10H50,3000-3099,4/20/2017,14,1,Theft,Commercial Parking Lot or Garage,TRULEY,-,-
1,10H50,2800-2899,4/3/2017,13,1,Burglary,Residence or House,BERRY,-,ST
1,10H50,2600-2699,4/3/2017,09,1,Theft,Commercial Building,CALLIE,-,ST
1,10H50,UNK,1/6/2017,13,1,Theft,Commercial Building,PIERCE,-,-
1,10H50,3200-3299,3/27/2017,12,1,Burglary,Residence or House,LIVE OAK,-,-
1,10H50,3500-3599,3/30/2017,01,1,Theft,"Vacant Single Occ Resd(House,Townhs,Dplex)",BASTROP,-,ST
1,10H50,4800-4899,3/31/2017,16,1,Theft,"Theatres, Dinner Theaters, Auditoriums",CALHOUN,-,RD
1,10H50,3500-3599,4/1/2017,08,1,Theft,Other Parking Lot,DOWLING,-,ST
1,10H50,2100-2199,4/1/2017,11,1,Theft,Driveway,LIVE OAK,-,-
1,10H50,3000-3099,4/3/2017,22,1,Robbery,Convenience Store,SCOTT,-,ST
1,10H50,3200-3299,4/4/2017,10,1,Theft,Apartment Parking Lot,TRUXILLO,-,-
1,10H50,4000-4099,4/5/2017,09,1,Theft,Service or Gas Station,GULF,-,FWY
1,10H50,3700-3799,4/5/2017,15,1,Auto Theft,"Other, Unknown, or Not Listed",BURKETT,-,ST
1,10H50,2500-2599,4/5/2017,13,1,Theft,"Other, Unknown, or Not Listed",LIVE OAK,-,-
1,10H50,3200-3299,4/5/2017,22,1,Theft,Apartment Parking Lot,TRUXILLO,-,-
1,10H50,3200-3299,4/7/2017,10,1,Theft,Miscellaneous Business (Non-Specific),GULF,-,FWY
1,10H50,3200-3299,4/7/2017,13,1,Burglary,Apartment,TRUXILLO,-,-
1,10H50,2400-2499,4/9/2017,16,1,Theft,"Church, Synagogue, or Temple Parking Lot",HOLMAN,-,-
